,transaction_id,item,quantity,price_per_unit,total_spent,transaction_date,transaction_month,transaction_month_name,transaction_day_name
0,txn_1961373,coffee,2,2.0,4.0,2023-09-08,9,September,Friday
1,txn_4977031,cake,4,3.0,12.0,2023-05-16,5,May,Tuesday
2,txn_4271903,cookie,4,1.0,4.0,2023-07-19,7,July,Wednesday
3,txn_7034554,salad,2,5.0,10.0,2023-04-27,4,April,Thursday
4,txn_3160411,coffee,2,2.0,4.0,2023-06-11,6,June,Sunday
5,txn_2602893,smoothie,5,4.0,20.0,2023-03-31,3,March,Friday
7,txn_6699534,sandwich,4,4.0,16.0,2023-10-28,10,October,Saturday
9,txn_2064365,sandwich,5,4.0,20.0,2023-12-31,12,December,Sunday
10,txn_2548360,salad,5,5.0,25.0,2023-11-07,11,November,Tuesday
12,txn_7619095,sandwich,2,4.0,8.0,2023-05-03,5,May,Wednesday
13,txn_9437049,cookie,5,1.0,5.0,2023-06-01,6,June,Thursday
14,txn_8915701,tea,2,1.5,3.0,2023-03-21,3,March,Tuesday
15,txn_2847255,salad,3,5.0,15.0,2023-11-15,11,November,Wednesday
16,txn_3765707,sandwich,1,4.0,4.0,2023-06-10,6,June,Saturday
17,txn_6769710,juice,2,3.0,6.0,2023-02-24,2,February,Friday
18,txn_8876618,cake,5,3.0,15.0,2023-03-25,3,March,Saturday
19,txn_3709394,juice,4,3.0,12.0,2023-01-15,1,January,Sunday
20,txn_3522028,smoothie,5,4.0,20.0,2023-04-04,4,April,Tuesday
21,txn_3567645,smoothie,4,4.0,16.0,2023-03-30,3,March,Thursday
22,txn_5132361,sandwich,3,4.0,12.0,2023-12-01,12,December,Friday
23,txn_2616390,sandwich,2,4.0,8.0,2023-09-18,9,September,Monday
24,txn_9400181,sandwich,5,4.0,20.0,2023-06-03,6,June,Saturday
25,txn_7958992,smoothie,3,4.0,12.0,2023-12-13,12,December,Wednesday
26,txn_5183041,cookie,5,1.0,5.0,2023-04-20,4,April,Thursday
27,txn_5695074,juice,4,3.0,12.0,2023-04-10,4,April,Monday
28,txn_8467949,smoothie,5,4.0,20.0,2023-03-11,3,March,Saturday
30,txn_1736287,coffee,5,2.0,10.0,2023-06-02,6,June,Friday
31,txn_8927252,cookie,2,1.0,2.0,2023-11-06,11,November,Monday
32,txn_9677376,smoothie,4,4.0,16.0,2023-08-15,8,August,Tuesday
34,txn_8853997,smoothie,2,4.0,8.0,2023-10-09,10,October,Monday
35,txn_9130559,sandwich,1,4.0,4.0,2023-05-28,5,May,Sunday
37,txn_1080432,salad,2,5.0,10.0,2023-04-29,4,April,Saturday
38,txn_2655815,smoothie,4,4.0,16.0,2023-06-08,6,June,Thursday
39,txn_6688524,coffee,4,2.0,8.0,2023-06-29,6,June,Thursday
40,txn_2083138,smoothie,3,4.0,12.0,2023-04-17,4,April,Monday
41,txn_2427584,sandwich,4,4.0,16.0,2023-12-22,12,December,Friday
42,txn_6650263,tea,2,1.5,3.0,2023-01-10,1,January,Tuesday
43,txn_9620080,juice,4,3.0,12.0,2023-10-02,10,October,Monday
44,txn_1491578,cookie,2,1.0,2.0,2023-02-23,2,February,Thursday
45,txn_5455792,salad,3,5.0,15.0,2023-03-22,3,March,Wednesday
46,txn_8078640,juice,4,3.0,12.0,2023-11-03,11,November,Friday
47,txn_9499313,juice,5,3.0,15.0,2023-03-02,3,March,Thursday
48,txn_8201146,juice,5,3.0,15.0,2023-06-26,6,June,Monday
49,txn_8230936,cake,3,3.0,9.0,2023-05-02,5,May,Tuesday
50,txn_7742742,cake,5,3.0,15.0,2023-09-05,9,September,Tuesday
51,txn_6342161,salad,5,5.0,25.0,2023-01-08,1,January,Sunday
52,txn_8914892,salad,5,5.0,25.0,2023-03-15,3,March,Wednesday
53,txn_3363746,smoothie,3,4.0,12.0,2023-11-25,11,November,Saturday
54,txn_8614868,smoothie,5,4.0,20.0,2023-12-05,12,December,Tuesday
55,txn_5522862,cookie,2,1.0,2.0,2023-03-19,3,March,Sunday
56,txn_3578141,cake,5,3.0,15.0,2023-06-27,6,June,Tuesday
57,txn_2080895,cake,1,3.0,3.0,2023-04-19,4,April,Wednesday
58,txn_6421134,sandwich,4,4.0,16.0,2023-11-03,11,November,Friday
59,txn_8813311,juice,5,3.0,15.0,2023-10-07,10,October,Saturday
60,txn_9023317,salad,1,5.0,5.0,2023-09-30,9,September,Saturday
62,txn_2537617,sandwich,1,4.0,4.0,2023-05-27,5,May,Saturday
63,txn_9099694,salad,3,5.0,15.0,2023-11-18,11,November,Saturday
64,txn_9230615,smoothie,4,4.0,16.0,2023-06-01,6,June,Thursday
65,txn_4987129,sandwich,3,4.0,12.0,2023-10-20,10,October,Friday
66,txn_8501819,juice,2,3.0,6.0,2023-03-30,3,March,Thursday
67,txn_3068204,cookie,1,1.0,1.0,2023-10-03,10,October,Tuesday
68,txn_8427104,salad,2,5.0,10.0,2023-10-27,10,October,Friday
70,txn_2621580,tea,2,1.5,3.0,2023-03-22,3,March,Wednesday
71,txn_4726376,cake,2,3.0,6.0,2023-01-31,1,January,Tuesday
72,txn_6044979,cookie,1,1.0,1.0,2023-12-08,12,December,Friday
73,txn_4238417,salad,2,5.0,10.0,2023-06-19,6,June,Monday
74,txn_1900620,smoothie,2,4.0,8.0,2023-12-14,12,December,Thursday
75,txn_6420335,coffee,1,2.0,2.0,2023-07-16,7,July,Sunday
76,txn_3858209,sandwich,4,4.0,16.0,2023-02-22,2,February,Wednesday
78,txn_8735480,tea,5,1.5,7.5,2023-06-02,6,June,Friday
79,txn_3829165,juice,4,3.0,12.0,2023-06-15,6,June,Thursday
80,txn_3748616,coffee,2,2.0,4.0,2023-12-09,12,December,Saturday
81,txn_1993289,sandwich,2,4.0,8.0,2023-04-18,4,April,Tuesday
82,txn_2123367,cookie,2,1.0,2.0,2023-11-07,11,November,Tuesday
83,txn_5266394,cake,3,3.0,9.0,2023-10-28,10,October,Saturday
84,txn_5107946,cake,4,3.0,12.0,2023-12-22,12,December,Friday
85,txn_8035512,tea,3,1.5,4.5,2023-10-29,10,October,Sunday
86,txn_8718498,cake,5,3.0,15.0,2023-04-30,4,April,Sunday
87,txn_3955361,cookie,5,1.0,5.0,2023-04-02,4,April,Sunday
88,txn_9487821,salad,1,5.0,5.0,2023-05-24,5,May,Wednesday
89,txn_4132730,cookie,5,1.0,5.0,2023-03-12,3,March,Sunday
90,txn_8976658,tea,2,1.5,3.0,2023-08-16,8,August,Wednesday
92,txn_2725602,juice,5,3.0,15.0,2023-09-10,9,September,Sunday
93,txn_3011323,coffee,3,2.0,6.0,2023-03-07,3,March,Tuesday
94,txn_6289610,juice,3,3.0,9.0,2023-08-07,8,August,Monday
95,txn_8268061,salad,3,5.0,15.0,2023-08-20,8,August,Sunday
96,txn_5220895,salad,5,5.0,25.0,2023-06-10,6,June,Saturday
97,txn_3085509,coffee,4,2.0,8.0,2023-04-15,4,April,Saturday
98,txn_9999113,juice,4,3.0,12.0,2023-05-27,5,May,Saturday
99,txn_8779771,coffee,4,2.0,8.0,2023-07-25,7,July,Tuesday
100,txn_9517146,salad,5,5.0,25.0,2023-10-30,10,October,Monday
101,txn_1621920,salad,3,5.0,15.0,2023-10-28,10,October,Saturday
102,txn_3808639,juice,2,3.0,6.0,2023-12-15,12,December,Friday
105,txn_6955416,salad,4,5.0,20.0,2023-02-25,2,February,Saturday
106,txn_3775339,cookie,3,1.0,3.0,2023-04-03,4,April,Monday
107,txn_9547091,cookie,3,1.0,3.0,2023-10-08,10,October,Sunday
108,txn_4358673,cookie,5,1.0,5.0,2023-12-28,12,December,Thursday
109,txn_4174591,tea,4,1.5,6.0,2023-08-30,8,August,Wednesday
110,txn_3398520,sandwich,1,4.0,4.0,2023-02-03,2,February,Friday
111,txn_6171384,smoothie,2,4.0,8.0,2023-09-12,9,September,Tuesday
112,txn_2530938,smoothie,5,4.0,20.0,2023-04-27,4,April,Thursday
113,txn_3314971,juice,3,3.0,9.0,2023-05-04,5,May,Thursday
114,txn_3092382,coffee,5,2.0,10.0,2023-02-21,2,February,Tuesday
116,txn_1535311,juice,3,3.0,9.0,2023-03-16,3,March,Thursday
117,txn_2148617,juice,3,3.0,9.0,2023-01-10,1,January,Tuesday
119,txn_4368416,salad,2,5.0,10.0,2023-02-24,2,February,Friday
120,txn_9790731,cake,2,3.0,6.0,2023-06-02,6,June,Friday
121,txn_9339456,coffee,3,2.0,6.0,2023-03-29,3,March,Wednesday
122,txn_5179020,cake,2,3.0,6.0,2023-06-18,6,June,Sunday
123,txn_6258471,coffee,5,2.0,10.0,2023-09-23,9,September,Saturday
124,txn_7945375,juice,3,3.0,9.0,2023-01-14,1,January,Saturday
125,txn_4685453,tea,4,1.5,6.0,2023-09-14,9,September,Thursday
126,txn_9646452,juice,5,3.0,15.0,2023-09-16,9,September,Saturday
127,txn_9096052,smoothie,4,4.0,16.0,2023-12-28,12,December,Thursday
128,txn_5916991,juice,2,3.0,6.0,2023-02-06,2,February,Monday
129,txn_3407169,sandwich,2,4.0,8.0,2023-03-11,3,March,Saturday
130,txn_2277042,tea,1,1.5,1.5,2023-04-08,4,April,Saturday
131,txn_9273729,tea,1,1.5,1.5,2023-12-19,12,December,Tuesday
132,txn_2181545,juice,4,3.0,12.0,2023-07-14,7,July,Friday
133,txn_1150033,juice,5,3.0,15.0,2023-04-18,4,April,Tuesday
134,txn_1443912,juice,2,3.0,6.0,2023-06-08,6,June,Thursday
135,txn_8700451,tea,5,1.5,7.5,2023-12-12,12,December,Tuesday
136,txn_6380550,coffee,5,2.0,10.0,2023-01-05,1,January,Thursday
137,txn_4885518,salad,3,5.0,15.0,2023-06-10,6,June,Saturday
138,txn_3972167,sandwich,5,4.0,20.0,2023-01-23,1,January,Monday
139,txn_4878378,tea,1,1.5,1.5,2023-02-20,2,February,Monday
140,txn_2484241,cake,3,3.0,9.0,2023-07-19,7,July,Wednesday
141,txn_2368126,cake,5,3.0,15.0,2023-12-06,12,December,Wednesday
143,txn_8495063,juice,1,3.0,3.0,2023-05-31,5,May,Wednesday
144,txn_4811133,salad,2,5.0,10.0,2023-08-11,8,August,Friday
145,txn_8729570,tea,5,1.5,7.5,2023-09-03,9,September,Sunday
146,txn_7623634,cake,2,3.0,6.0,2023-07-11,7,July,Tuesday
147,txn_9336980,salad,4,5.0,20.0,2023-06-06,6,June,Tuesday
148,txn_3424331,cake,4,3.0,12.0,2023-01-18,1,January,Wednesday
149,txn_5072031,cake,2,3.0,6.0,2023-03-23,3,March,Thursday
150,txn_8687151,salad,5,5.0,25.0,2023-06-10,6,June,Saturday
152,txn_5265095,coffee,1,2.0,2.0,2023-06-23,6,June,Friday
154,txn_4108138,coffee,5,2.0,10.0,2023-08-03,8,August,Thursday
155,txn_1909796,smoothie,2,4.0,8.0,2023-07-12,7,July,Wednesday
156,txn_1928241,coffee,3,2.0,6.0,2023-04-30,4,April,Sunday
157,txn_4283157,salad,5,5.0,25.0,2023-11-25,11,November,Saturday
158,txn_8013032,coffee,2,2.0,4.0,2023-03-07,3,March,Tuesday
159,txn_8301424,juice,2,3.0,6.0,2023-06-27,6,June,Tuesday
161,txn_7965998,juice,1,3.0,3.0,2023-11-02,11,November,Thursday
162,txn_9238666,cookie,1,1.0,1.0,2023-07-31,7,July,Monday
163,txn_1631695,tea,2,1.5,3.0,2023-09-19,9,September,Tuesday
164,txn_1435086,cake,5,3.0,15.0,2023-02-09,2,February,Thursday
166,txn_1648671,sandwich,3,4.0,12.0,2023-05-21,5,May,Sunday
